country,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2007,2010,2015
Liberia,0.042,0.041,0.043,0.046,0.070,0.071,0.075,0.074,0.083,0.083,0.089,0.098,0.109,0.120,0.143,0.112,0.144,0.130,0.137,0.181,0.216,0.260,0.270,0.283
Lybia,0.016,0.017,0.017,0.018,0.021,0.024,0.027,0.032,0.030,0.066,0.084,0.099,0.126,0.102,0.117,0.156,0.173,0.185,0.203,0.217,0.229,0.227,0.249,0.290
Madagascar,0.025,0.028,0.029,0.047,0.055,0.060,0.063,0.066,0.070,0.087,0.097,0.108,0.124,0.131,0.130,0.132,0.141,0.147,0.209,0.210,0.217,0.238,0.191,0.262
Malawi,0.024,0.024,0.024,0.032,0.034,0.037,0.038,0.042,0.045,0.049,0.057,0.065,0.082,0.086,0.099,0.109,0.118,0.124,0.209,0.215,0.219,0.218,0.245,0.270
Mali,0.018,0.018,0.018,0.024,0.024,0.024,0.026,0.030,0.033,0.043,0.047,0.067,0.070,0.064,0.077,0.090,0.098,0.103,0.142,0.147,0.177,0.163,0.188,0.210
Mauritania,0.025,0.027,0.028,0.049,0.052,0.054,0.057,0.064,0.072,0.084,0.090,0.111,0.113,0.121,0.129,0.115,0.121,0.123,0.164,0.178,0.171,0.214,0.231,0.223
Mauritius,0.039,0.040,0.041,0.088,0.100,0.108,0.115,0.118,0.125,0.198,0.220,0.237,0.254,0.313,0.337,0.374,0.404,0.428,0.453,0.471,0.488,0.472,0.493,0.547
Morocco,0.026,0.026,0.027,0.029,0.037,0.041,0.045,0.047,0.049,0.065,0.071,0.089,0.113,0.121,0.128,0.161,0.180,0.203,0.228,0.251,0.273,0.279,0.293,0.322
Mozambique,0.021,0.021,0.021,0.026,0.028,0.027,0.031,0.035,0.039,0.041,0.048,0.052,0.061,0.065,0.086,0.086,0.096,0.122,0.168,0.193,0.189,0.163,0.205,0.242
Namibia,0.020,0.021,0.027,0.047,0.062,0.068,0.079,0.081,0.087,0.110,0.120,0.129,0.145,0.152,0.164,0.188,0.208,0.330,0.352,0.336,0.339,0.368,0.356,0.390
Niger,0.019,0.019,0.019,0.020,0.019,0.031,0.033,0.037,0.041,0.043,0.044,0.052,0.056,0.059,0.062,0.073,0.078,0.106,0.128,0.134,0.148,0.159,0.128,0.197
Nigeria,0.019,0.019,0.019,0.019,0.031,0.036,0.036,0.037,0.052,0.068,0.089,0.111,0.116,0.102,0.108,0.145,0.118,0.132,0.133,0.204,0.215,0.226,0.232,0.286
Rwanda,0.017,0.017,0.017,0.018,0.030,0.031,0.036,0.039,0.040,0.052,0.058,0.080,0.103,0.111,0.106,0.123,0.134,0.113,0.097,0.137,0.165,0.168,0.183,0.224
São Tomé and Principe ,,,,,,,,,,0.055,0.061,0.071,0.089,0.103,0.143,0.167,0.186,0.210,0.281,0.295,0.307,0.309,0.323,0.349
Senegal,0.021,0.020,0.021,0.033,0.036,0.038,0.045,0.045,0.052,0.066,0.072,0.094,0.101,0.115,0.133,0.154,0.178,0.196,0.220,0.229,0.214,0.252,0.246,0.282
Seychelles,,,,,,,,,,0.251,0.266,0.282,0.296,0.319,0.331,0.310,0.325,0.341,0.379,0.401,0.453,0.453,0.463,0.459
Sierra Leone,0.018,0.020,0.022,0.035,0.035,0.038,0.037,0.036,0.042,0.050,0.066,0.078,0.097,0.084,0.097,0.111,0.117,0.121,0.095,0.120,0.193,0.183,0.206,0.206
South Africa,0.084,0.088,0.093,0.094,0.111,0.118,0.123,0.128,0.138,0.153,0.167,0.177,0.185,0.198,0.204,0.210,0.222,0.250,0.375,0.367,0.370,0.366,0.378,0.430
Sudan,0.018,0.019,0.019,0.027,0.032,0.032,0.035,0.034,0.039,0.060,0.076,0.066,0.082,0.074,0.094,0.107,0.118,0.080,0.097,0.099,0.151,0.151,0.161,0.176
Tanzania,0.024,0.026,0.027,0.046,0.052,0.055,0.067,0.066,0.075,0.091,0.096,0.112,0.139,0.144,0.148,0.156,0.163,0.171,0.194,0.202,0.221,0.241,0.254,0.304
Togo,0.019,0.019,0.019,0.019,0.025,0.024,0.025,0.025,0.026,0.049,0.054,0.074,0.080,0.076,0.098,0.127,0.133,0.146,0.175,0.187,0.188,0.201,0.224,0.226
Tunisia,0.033,0.033,0.036,0.042,0.048,0.049,0.052,0.055,0.060,0.074,0.081,0.124,0.140,0.158,0.184,0.210,0.228,0.218,0.234,0.251,0.267,0.268,0.285,0.457
Uganda,0.019,0.019,0.019,0.031,0.030,0.043,0.048,0.052,0.059,0.092,0.100,0.114,0.139,0.124,0.083,0.102,0.101,0.146,0.167,0.174,0.196,0.218,0.232,0.257
Zambia,0.017,0.017,0.017,0.017,0.041,0.047,0.067,0.083,0.096,0.114,0.121,0.131,0.171,0.176,0.176,0.185,0.187,0.192,0.235,0.217,0.228,0.247,0.256,0.299
Zimbabwe,0.017,0.017,0.017,0.035,0.039,0.052,0.067,0.068,0.088,0.128,0.141,0.147,0.142,0.159,0.169,0.202,0.226,0.254,0.247,0.207,0.185,0.182,0.217,0.256
Afghanistan,,,,,,,,,,0.051,0.056,0.061,0.072,0.085,0.074,0.079,0.090,0.090,0.074,0.071,0.127,0.146,0.167,0.205
Armenia,,,,,,,,,,,,,,,,0.228,0.238,0.429,0.393,0.393,0.394,0.410,0.421,0.455
Azerbaijan,,,,,,,,,,,,,,,,0.205,0.221,0.287,0.275,0.277,0.278,0.291,0.316,0.297
Bahrain,0.020,0.020,0.020,0.020,0.022,0.044,0.061,0.067,0.069,0.122,0.103,0.117,0.132,0.162,0.185,0.192,0.209,0.210,0.222,0.239,0.279,0.281,0.284,0.256
Bangladesh,,,,,,,,,,0.099,0.102,0.090,0.114,0.107,0.112,0.146,0.143,0.169,0.210,0.237,0.240,0.201,0.253,0.251
